user_date_create,ouid,manner_score,clan_flag
2013-08-18,6325bd2d0907dafffebac93f0c269e61,3.0,1
2008-05-29,41d82f5534d2f219e1c420d033128a7b,3.0,1
2020-12-26,baeaec85232b7b59b2b63ef351cd14e3,3.0,1
2015-12-16,8c27d951126ddba12ccf094b4b5fb4f4,3.0,1
2012-06-26,8b7819156453522073e2495d5797bae3,3.0,1
2009-02-05,6bb067c0c60ed2c6af5dec07bac5d9ba,3.0,1
2021-03-19,d374c0582818c96c8d7067ca77f4ebfe,3.0,1
2005-09-12,840d8fa05aee75879a025c415b3676a4,3.0,1
2006-02-13,52f676ce655a9acb1327d8b6bee93d54,3.0,1
2018-07-26,cb031642fb9aa50c876d60b817863622,3.0,1
2008-02-09,0a00dc2b0546bfcd6798fc4be772e0f9,3.0,1
2005-12-21,9b63f37be284b9e4205dc7a4645cd528,3.0,1
2009-12-25,f54e2bf3c577aa3fd50578bb2c1937f9,3.0,1
2017-06-10,5447b3b22b84ace082f92dc3a437bc9b,3.0,1
2017-04-07,41272652c2bba3865dfedda24a59462d,3.0,1
2009-07-18,b487ccabbc0f02100ecfadffe835167e,3.0,1
2011-03-05,80a2dc0ea59dcef5b0aad82253ff3e6f,3.0,1
2014-03-10,143925a0a08e52bd4b289dc0d3085074,3.0,1
2013-01-20,b4310b7df4769789e53d240aeb9dea55,3.0,1
2006-06-28,c355552a42729bb3aa3cc584ed86e20f,3.0,1
2011-12-31,facb4f6b8c5a1767bf1cdb41d540a65b,0.0,1
2014-07-17,b93854f026f31513b2c0848b12bb3c60,3.0,1
2007-12-01,16b9d109db50a18337285465fd68780d,2.0,1
2005-12-31,107f952ec161efb1dc760ae6c2c265a0,3.0,1
2010-02-15,080fa4a17acb6e0ffc9b400e558d5f7e,3.0,1
2008-10-13,6acea493211b081c51f4c199d3f3edfb,3.0,1
2014-12-30,5f71d06c9977b636adbf845704df861d,3.0,1
2008-07-06,9d9ec39dcd7edfbf7d696f941b261cb1,3.0,1
2012-11-23,fbf3838823e5d15cf12cc6b7d2e992f5,3.0,1
2012-03-24,8b840e410c22ff7473087de302e6e94a,3.0,1
2011-07-12,9fee5c44ee2fa8d902edd2c9456f8f2d,3.0,1
2008-07-17,0514a90b73e94dcf8c13d85dac3caa15,3.0,1
2005-12-29,0c84d3f430b4d23ae22934557b980d00,0.0,1
2019-01-18,45afc9eca26756f58065d0a5b93a0312,3.0,1
2019-07-26,cad95c4868e351237a0de4cac3e6cc03,3.0,1
2015-01-17,29b8e3f898515cc4e787b2ec74d12068,3.0,1
2006-08-09,6cbc6bc425b56afcb65094f7eed20be0,3.0,1
2011-11-26,d9591b826db8d611f4eed014791889c6,0.0,1
2010-04-17,f9a482a58290fc0a3f833a95315a2aac,0.0,1
2016-06-13,a0d13ac7a3d778fe8680c842313f018f,2.0,1
2010-08-29,ace637a4977e50b44d59ab29042afbd0,3.0,1
2007-07-22,7b4ccdd1a45d058dee208afb8ae7646f,3.0,1
2006-05-20,e1a184b3d7fe960bac87efeb0fc0f5cf,3.0,1
2008-10-03,93b63931984005b6b24d0b213b46f61b,1.0,1
2008-11-21,d91f14c9f0f5e27fdefd745b5c154a0c,,1
2006-09-17,c2f3058e2bee05bf17911c847fc827bb,3.0,1
2011-10-09,3481be46ed14b44101755ea4a326e9cc,3.0,1
2017-03-05,c849050595d81e8fbe5eb34dade47db7,3.0,1
2014-02-26,d735ddb457a0d137c6c46d8153eba39f,3.0,1
2014-02-14,f36d846979fe2aaaac0de203bc1c111d,3.0,1
2011-10-01,42623e037e749483cdc4ecc20652003f,3.0,1
2013-06-17,d307763fd209492574ea383046a1275e,1.0,1
2008-06-04,0136f10d0f040ceb86007bbb3ef41231,3.0,1
2006-11-06,d0646bc50cb2f86d8ca25dfb0e851de4,3.0,1
2015-05-03,92ddc79a54a31a4191d2da3105a5f37a,3.0,1
2006-07-02,f85891777cd6744f68468ab0574de536,2.0,1
2011-08-07,655b40d2133c458bdb9930103960c61e,3.0,1
2013-03-23,4f2aa7cd9dc3c389968b51f17e4d7235,3.0,1
2012-07-21,e429485f98c96d823a27a38a592f5feb,0.0,1
2009-12-19,120cc58a11edef06fb75e79e387c2047,3.0,1
2006-09-18,e4f1a94eb732f69c784e91776c71f5fc,0.0,1
2012-02-16,bf8be389fa47776e0f61b7faa8d85d0e,3.0,1
2012-08-06,8613d37706c65dd87efe3c258c4b249c,3.0,1
2013-08-16,6a912fc219accde193dad9ee3e6595cc,3.0,1
2006-10-11,8dd711c6930202ec3c10fc3a310d1277,3.0,1
2006-12-31,2bef6f4102311b3ecf7ffc9a28c430cd,2.0,1
2009-08-11,5a16d5c007deb76ff4f3bd6bc85fa89a,3.0,1
2014-09-08,3df995f5c9e2595073ab5c9474e19bc9,3.0,1
2012-12-19,26661f4f5ddcb8469a87ceeee34f4ae9,3.0,1
2011-07-15,20d7ef5a5f0c9027a9832e9f73980e53,3.0,1
2019-01-24,3b9b8b6c99701e425ada3e0fc72322c1,3.0,1
2010-05-29,d733e39cf5503960fb9cd0579d9890ad,0.0,1
2011-05-10,22084df93879de54941beef010532acf,3.0,1
2014-03-05,74f29f7711ab53794b07fe5912d6c12a,3.0,1
2019-04-13,4395282272057620eb2458efacbfd9d6,3.0,1
2005-11-26,1c7b3bb48bc506576e712675cee0eb3e,3.0,1
2005-12-24,8b8435e18faf9002798dd6242f6e5d36,2.0,1
2006-09-20,1b582f36ae431ec43cc2d2dca0bf339e,3.0,1
2010-12-14,5d85bab69f1f6eff7758de6f45da1c3e,3.0,1
2011-08-15,fc1a6eab9f421be155b7b9146335c44e,3.0,1
2013-08-13,b380b2a67742eb44a200cb585e74d7f6,2.0,1
2016-04-07,02d81b50de0ce438c9c21fd76ad53655,3.0,1
2016-01-14,f2088cb91ccd358567adeacfd672ef53,3.0,1
2017-05-27,f9e93a0b2fec7db438bd28f6925a2f70,3.0,1
2015-01-17,dea48f896861786eed777dea79e29f98,3.0,1
2020-07-12,e351bed0bd52e941c62b4df47399581f,3.0,1
2011-07-26,7de1c247f0885a830cac74c8afca4560,3.0,1
2011-08-02,1e0fd0ab10b5c4ffbb14770326588d8d,3.0,1
2012-07-19,6029cea7766c06729f455389d0641624,3.0,1
2014-11-18,a88da456e8efee6b05e559ae3ab9fd5b,3.0,1
2011-05-14,5a1b09eb3fde9715e9fffb075ea8c0b1,3.0,1
2013-10-08,967f6b9bea9fbcad115ad36953447b64,3.0,1
2017-10-15,9bd7d64578221963e442a931e5d4d89e,3.0,1
2015-06-04,44e182a35389fa081f00b2e82819159a,2.0,1
