nickname,world_name,character_class,character_level,character_exp_rate,character_date_create,dojang_best_floor,dojang_best_time,popularity,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,스탠스,방어력,이동속도,점프력,스타포스,아케인포스,어센틱포스,STR,DEX,INT,LUK,HP,MP,AP 배분 STR,AP 배분 DEX,AP 배분 INT,AP 배분 LUK,AP 배분 HP,AP 배분 MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
묘롱,엘리시움,윈드브레이커,290,81.999,2013-02-22T00:00+09:00,0,0,4242,131750499,153198252,125.00,499.00,79.37,96.07,180,117.35,70,100,58433,160,123,245,1350,730,8301,74156,5186,5054,70854,39379,4,1468,4,4,-154,-72,337,118,55,4,12.00,5,6,7,5.00,13.00,86,683.00,9576,2269,314639542,10,2050.0,157.69230769230768,70.0
흐스,크로아,호영,295,64.126,2020-03-16T00:00+09:00,80,862,1034,199382465,219101608,80.00,564.00,101.37,97.51,89,143.15,59,100,77573,168,123,416,1350,760,10382,14576,11162,103514,45144,25766,4,4,4,1493,0,0,26,31,95,6,12.00,0,6,0,5.00,14.00,91,193.00,10848,2769,703241132,42,2080.0,160.0,100.0
발림,루나,팔라딘,290,17.733,2022-08-24T00:00+09:00,84,877,976,147258842,163620934,78.00,575.00,54.00,96.87,88,134.90,70,100,99999,160,123,422,1350,750,101994,14166,9185,9842,97914,17724,1468,4,4,4,0,0,23,27,72,4,12.00,0,6,0,5.00,14.00,90,185.50,10552,3047,703739994,10,2050.0,157.69230769230768,70.0
룡혼,스카니아,카이저,290,5.264,2013-12-27T00:00+09:00,90,883,4211,141599005,157332226,72.00,506.00,45.20,92.77,83,114.50,40,100,99999,160,123,398,1350,700,91952,15721,11333,10053,92959,21368,1468,4,4,4,-393,-204,40,38,75,4,59.00,5,6,7,5.00,0.00,90,133.00,12258,3081,618647699,10,2020.0,155.3846153846154,40.0
접어,루나,제논,294,27.359,2013-01-03T00:00+09:00,81,704,1236,93639793,104044213,120.00,379.00,26.50,92.48,78,71.75,95,100,86443,168,123,250,1350,750,31000,33684,10350,36886,74551,67553,330,330,4,836,0,0,160,150,80,5,92.00,0,6,0,5.00,0.00,90,258.00,7011,1642,194659077,10,2070.0,159.23076923076923,90.0
서펜,스카니아,바이퍼,291,45.524,2020-04-12T00:00+09:00,94,866,611,117785131,129434208,111.00,342.00,36.73,94.84,116,107.45,75,100,99999,160,123,265,1350,750,69073,9695,5741,6655,81909,38834,1473,4,4,4,0,0,331,258,55,5,110.00,0,6,0,5.00,0.00,91,332.00,9228,2009,254666879,10,2060.0,158.46153846153845,80.0
단돈,크로아,팬텀,290,84.789,2011-12-31T00:00+09:00,79,857,514,345384976,379543927,151.00,524.00,126.51,97.27,100,154.40,75,100,75084,160,123,413,1350,740,9226,12264,8452,105564,54181,24735,4,4,4,1468,-458,-234,118,54,74,5,12.00,5,6,17,5.00,14.00,91,195.00,11818,2723,700423909,10,2060.0,158.46153846153845,80.0
해벽잉,베라,데몬어벤져,290,11.605,2022-06-30T00:00+09:00,79,867,54,122012631,135569588,101.00,357.00,39.15,95.48,72,101.05,40,100,52992,160,123,327,1360,730,5095,4941,2973,3128,500000,,4,4,4,4,21960,0,149,57,66,4,59.00,2,6,3,5.00,6.00,90,169.00,8785,2318,374401152,0,2010.0,154.6153846153846,30.0
킬래,루나,나이트로드,292,23.528,2023-06-25T00:00+09:00,80,868,203,31127506,36620594,66.00,228.00,61.77,85.71,104,90.40,60,100,30094,160,123,162,1350,750,2940,3967,2329,42485,44086,37787,4,4,4,1478,0,0,245,142,55,6,106.00,0,6,7,5.00,6.00,85,254.00,4481,904,58216430,10,2070.0,159.23076923076923,90.0
남준,베라,제논,296,0.88,2013-01-06T00:00+09:00,92,884,10620,93995827,104439806,111.00,437.00,26.50,95.32,98,95.75,77,100,96851,160,123,271,1350,740,31598,33926,8917,38627,75251,57301,330,330,4,846,0,0,242,131,55,5,70.00,4,6,7,5.00,6.00,90,222.00,7156,1811,249510041,20,2030.0,156.15384615384616,60.0
머얼크,스카니아,제논,293,40.313,2015-07-19T00:00+09:00,90,871,265,168680868,185363590,135.00,505.00,64.45,95.85,110,113.55,69,100,89309,160,123,289,1350,750,31822,35287,10013,37856,73780,63168,330,330,4,831,0,0,249,126,45,5,12.00,0,6,3,5.00,14.00,91,273.00,8704,2057,298400330,10,2070.0,159.23076923076923,90.0
해저,크로아,호영,295,6.101,2019-07-20T00:00+09:00,85,889,69,131979452,145032363,120.00,415.00,121.51,93.13,100,166.45,75,100,51194,160,123,288,1370,780,4211,6754,4616,65267,48242,27700,4,4,4,1493,0,0,341,255,104,6,125.00,0,6,0,5.00,0.00,91,407.00,8548,1764,245155883,40,2090.0,160.76923076923077,110.0
별표시,루나,메카닉,295,2.196,2015-06-29T00:00+09:00,90,818,889,199721721,234966728,126.00,502.00,56.20,97.73,70,105.80,66,100,80896,168,123,412,1350,760,13018,105048,10060,9535,70668,32143,4,1493,4,4,-367,-390,26,31,95,5,12.00,5,6,7,5.00,14.00,85,170.00,10243,2642,694744121,12,2080.0,160.0,100.0
안아파,엘리시움,듀얼블레이더,292,15.34,2021-09-05T00:00+09:00,87,878,495,151877158,168752396,66.00,473.00,53.95,93.73,87,110.85,57,100,99999,160,123,419,1355,760,13336,17533,11526,99761,57345,30866,4,4,4,1478,550,300,26,31,78,6,12.00,5,6,7,5.00,14.00,90,158.00,11815,2571,698110584,10,2080.0,160.0,100.0
쿠쿠쿠,크로아,비숍,293,77.688,2023-02-18T00:00+09:00,60,500,438,83480269,87873966,60.00,320.00,65.08,90.25,103,98.65,65,100,28140,160,123,288,1350,760,6418,5804,72073,8737,49347,98605,4,4,1483,4,0,0,246,123,194,4,137.00,4,6,3,15.00,6.00,95,298.00,2392,9334,247345177,10,2080.0,160.0,100.0
첫체험,크로아,아란,290,57.652,2023-07-17T00:00+09:00,66,877,396,18194241,19993671,175.00,582.00,55.19,97.25,100,156.75,69,100,99999,160,123,417,1355,740,106228,12718,9140,9376,92928,32164,1468,4,4,4,0,0,48,28,61,5,12.00,0,6,0,5.00,14.00,91,201.00,11314,3028,693826489,0,2060.0,158.46153846153845,80.0
미술부,루나,제로,292,84.221,2020-12-29T00:00+09:00,97,861,2428,136161428,151290473,176.00,437.00,58.30,91.33,130,125.80,94,100,99999,160,123,296,1350,750,68391,8541,5860,4804,76903,,1478,4,4,4,0,0,248,252,50,2,106.00,5,6,7,5.00,0.00,90,447.00,8238,1883,239428681,10,2060.0,158.46153846153845,80.0
경찰,스카니아,나이트워커,290,9.799,2023-11-26T00:00+09:00,0,0,33,196355070,228319847,103.00,536.00,39.15,94.53,91,139.75,75,100,67862,160,123,408,1350,690,7069,9157,6439,105737,65276,35042,4,4,4,1468,0,0,43,23,30,6,12.00,0,6,16,5.00,14.00,86,122.00,10689,3008,693041239,30,2010.0,154.6153846153846,30.0
