character_level,character_exp_rate,dojang_best_floor,dojang_best_time,최소 스탯공격력,최대 스탯공격력,데미지,보스 몬스터 데미지,최종 데미지,방어율 무시,크리티컬 확률,크리티컬 데미지,상태이상 내성,방어력,이동속도,스타포스,STR,DEX,INT,LUK,HP,MP,아이템 드롭률,메소 획득량,버프 지속시간,공격 속도,일반 몬스터 데미지,재사용 대기시간 감소 (초),재사용 대기시간 감소 (%),재사용 대기시간 미적용,속성 내성 무시,상태이상 추가 데미지,무기 숙련도,추가 경험치 획득,공격력,마력,전투력,소환수 지속시간 증가,force_sum,force_mean,force_min
290,0.4767,0,0,19.16475876722219,19.327277690542722,94.0,577.0,39.15,0.9652,0.9,129.8,0.75,11.295590013938995,170,419,9.265112607823163,9.439306936593182,9.266531651625925,11.617906908789402,10.757732653438401,10.117469262057952,0.25,0.18,0.5,6,12.0,0,0.06,0.07,0.05,0.14,85,1.91,9.347751727799142,8.108021221376747,20.59098420361873,30,2070.0,159.23076923076923,90.0
292,0.28781,94,873,18.44086213284265,18.53517279692756,96.0,366.0,53.95,0.8198000000000001,1.24,90.2,0.76,11.419054249360158,160,307,8.822322177471738,9.11964950669168,8.81537000096066,11.117227502621036,10.822295114534558,10.287524713230672,3.49,2.54,1.3,6,106.0,5,0.06,0.0,0.05,0.0,91,7.31,9.212737496575905,7.501634457883413,19.460161937853726,12,2070.0,159.23076923076923,90.0
290,0.59607,59,654,18.963673776236583,19.069034282598302,66.0,560.0,53.95,0.9316,1.0,121.45,0.75,11.512925464970229,160,443,9.33326571881348,9.652137409331738,9.279306576440906,11.57431214928444,10.8373038112761,10.115044234598418,0.49,0.48,0.87,6,12.0,5,0.06,0.07,0.05,0.06,90,1.7,9.451795243061646,8.016317898503415,20.58809087840709,10,2010.0,154.6153846153846,30.0
292,0.33582,96,825,19.174893357392566,19.337412278658675,90.0,554.0,80.34,0.9751000000000001,2.0,131.65,0.5,11.512925464970229,160,423,9.59709825261865,11.599570941693186,9.294129897705867,9.268892258925797,11.010927429806916,10.195335933857326,0.25,0.25,0.55,4,12.0,0,0.06,0.0,0.05,0.14,85,1.91,9.391995039782433,8.028455164114252,20.585399008458023,10,2070.0,159.23076923076923,90.0
298,0.19024999999999997,96,836,19.309169966520905,19.41453047888852,121.0,554.0,45.2,0.9717,0.9,114.9,0.69,11.512925464970229,160,425,11.604136345023612,9.65598726971718,9.287671714912506,9.448175472033382,11.236367951187963,10.025660936493804,0.27,0.31,0.52,5,12.0,0,0.06,0.0,0.05,0.13,90,2.14,9.4296365315615,8.023879992734878,20.592082987191997,0,2090.0,160.76923076923077,110.0
293,0.25684,89,872,18.899688359130906,18.993999028134326,77.0,451.0,143.66,0.9553,1.07,140.6,0.75,11.10537819065774,160,300,8.773384596776648,9.138092207768558,8.770749549138642,11.22624289285153,11.009240949355604,10.568312416091485,2.69,1.43,1.32,6,95.0,0,0.06,0.07,0.05,0.0,91,2.91,9.232297539328226,7.769800996003896,19.761821029687503,42,2070.0,159.23076923076923,90.0
288,0.72089,91,873,19.07405071214206,19.168361383392728,85.0,570.0,53.95,0.9521,1.0,125.8,0.86,11.512925464970229,170,453,9.541225601728613,9.737314897481545,9.468310380442437,11.58178899475957,10.85371583543798,10.113383743764707,0.36,0.04,0.63,6,12.0,5,0.06,0.07,0.05,0.14,91,0.82,9.426982836948033,8.035926369891792,20.66562631621663,10,1980.0,152.30769230769232,0.0
291,0.76143,91,890,19.462524605078926,19.567885110505447,112.0,445.0,247.88,0.9769,1.12,142.5,0.75,11.512925464970229,168,285,11.197981816298208,9.166492972195906,8.768107539675803,8.733916174927524,11.36441385565642,10.577095071221457,3.39,2.37,0.92,4,81.0,2,0.06,0.07,0.05,0.0,90,7.16,9.193906065512758,7.631431664576906,19.70193977264774,12,2070.0,159.23076923076923,90.0
293,0.032549999999999996,90,895,18.949391434139866,19.05475193918913,87.0,566.0,53.95,0.9488,0.87,121.35,0.76,11.512925464970229,160,437,9.554780778246572,9.751442986626445,9.479985756941812,11.547964369614744,10.820897657678199,10.11350533663141,0.25,0.3,0.74,6,12.0,5,0.06,0.07,0.05,0.14,90,1.79,9.333177281935246,7.913886714856082,20.570414599644568,32,2070.0,159.23076923076923,90.0
290,0.15130000000000002,0,0,19.578941422783696,19.6732520969478,149.0,613.0,36.73,0.9849,0.59,158.0,0.6,11.512925464970229,160,421,11.644120380155954,9.570110520822217,9.271435471335993,9.303739636234733,11.193711444905285,10.262629451038649,0.22,0.26,0.65,5,12.0,0,0.06,0.07,0.05,0.14,91,2.07,9.461410325931231,8.064007347096661,20.556561048363175,12,2040.0,156.92307692307693,60.0
295,0.01678,95,892,19.016247024573282,19.167069902731612,180.0,401.0,71.82,0.9298000000000001,1.23,134.2,1.07,11.075582617964042,160,297,9.17895289873455,11.14576719101665,8.631235907456897,8.595264726836392,11.491793754834617,11.15713584330377,3.21,2.56,0.55,5,117.0,6,0.06,0.07,0.05,0.0,86,6.34,9.229554590899987,7.779048644925556,19.652555274443838,12,2090.0,160.76923076923077,110.0
294,0.16383,93,878,19.03131057243047,19.1821334524995,112.0,388.0,79.37,0.94,1.56,122.75,0.7,11.039796958376968,170,283,9.141740280483926,11.27889789705394,8.599694412927981,8.828494129466652,11.19000301397943,10.640053353463594,2.7,1.71,0.55,4,118.0,5,0.06,0.07,0.05,0.0,86,6.05,9.495068084601527,7.930925372483388,19.835479973479824,12,2080.0,160.0,100.0
293,0.1832,97,895,18.538376806937848,18.58967008710194,71.0,345.0,67.31,0.9434999999999999,1.12,126.2,0.64,10.160413981817907,160,290,8.561210076833012,8.509362612301048,11.177704445250573,8.94102198354136,10.891335864219382,11.53239470336517,2.45,1.45,0.55,4,105.0,2,0.06,0.07,0.05,0.0,95,2.56,7.805474625270857,9.371097750854297,19.525716335635657,10,2070.0,159.23076923076923,90.0
293,0.80122,96,867,18.636468475436974,18.74182897981211,131.0,414.0,26.5,0.9534999999999999,0.96,129.25,0.85,11.428238656803035,160,291,10.396566633814148,10.464388228934425,9.239996256883693,10.587417383546464,11.576022322409901,11.229062756121223,2.45,1.42,0.55,5,94.0,5,0.06,0.0,0.05,0.06,90,2.54,9.032050676295599,7.542213463193403,19.462558223165168,10,2070.0,159.23076923076923,90.0
291,0.7522199999999999,84,874,19.22323374687257,19.374056625671482,101.0,623.0,74.69,0.9712999999999999,2.1,119.15,0.54,11.334767229514153,165,418,9.615805480084347,11.565214263678882,9.380842351964795,9.226115291091546,10.821436908133153,10.087474388649143,0.25,0.29,0.55,4,22.0,2,0.06,0.07,0.05,0.14,86,1.71,9.474472303967703,7.982074875081202,20.52201537712004,10,2070.0,159.23076923076923,90.0
