recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,ouid
86.666664,54.666668,62.0,78.0,62.0,d0646bc50cb2f86d8ca25dfb0e851de4
63.333332,62.0,67.0,100.0,60.0,92ddc79a54a31a4191d2da3105a5f37a
46.666668,46.666668,45.0,32.666668,48.333332,f85891777cd6744f68468ab0574de536
46.666668,60.5,58.0,84.666664,65.0,655b40d2133c458bdb9930103960c61e
71.428574,58.333332,59.259258,60.0,65.277779,4f2aa7cd9dc3c389968b51f17e4d7235
0.0,0.0,0.0,0.0,0.0,e429485f98c96d823a27a38a592f5feb
50.0,59.500004,60.000004,73.666664,62.333332,120cc58a11edef06fb75e79e387c2047
,,,,,e4f1a94eb732f69c784e91776c71f5fc
63.333332,58.833332,57.333332,73.666664,55.333332,bf8be389fa47776e0f61b7faa8d85d0e
46.666668,48.5,50.0,59.0,55.0,8613d37706c65dd87efe3c258c4b249c
53.333336,55.5,52.999996,72.333336,50.0,6a912fc219accde193dad9ee3e6595cc
98.333336,64.166664,51.0,75.666664,48.0,8dd711c6930202ec3c10fc3a310d1277
66.666672,52.166664,49.0,0.0,54.195805,2bef6f4102311b3ecf7ffc9a28c430cd
45.0,57.166664,50.0,0.0,55.0,5a16d5c007deb76ff4f3bd6bc85fa89a
100.0,60.666668,59.666668,71.0,57.142857,3df995f5c9e2595073ab5c9474e19bc9
63.333332,56.333332,58.666664,52.777779,52.0,26661f4f5ddcb8469a87ceeee34f4ae9
