user_name,grade_ranking,season_grade_ranking,recent_win_rate,recent_kill_death_rate,recent_assault_rate,recent_sniper_rate,recent_special_rate,solo_rank_match_score,party_rank_match_score,is_win,is_draw,is_loss,kill,death,assist,total_matches,match_id,match_result,team_id,target
나현아잘하자,705154.0,259842.0,51.666664,44.0,43.0,29.333334,40.0,1400,1400,0,0,1,9,10,3,1,250806203422124003,2.0,0.0,0.0
【NickName】,49433.0,47856.0,36.666668,48.833336,44.725739,56.14035,0.0,1400,1400,0,0,1,7,10,3,1,250806203422124003,2.0,0.0,0.0
김휜둥,36258.0,30957.0,61.666668,55.166668,56.969696,63.333332,57.142857,1437,1421,1,0,0,9,9,3,1,250806203422124003,1.0,1.0,1.0
에보1위얀느,29758.0,15976.0,100.0,66.666672,52.173912,73.333336,58.035713,1400,1400,1,0,0,10,5,1,1,250806234605124003,1.0,0.0,1.0
잉잉,176.0,704.0,100.0,62.5,62.333332,77.666664,66.333336,1941,1400,1,0,0,4,5,6,1,250806234605124003,1.0,0.0,1.0
마루'^',6127.0,9668.0,100.0,62.333332,57.333332,74.0,37.5,2049,1794,1,0,0,12,6,0,1,250806234605124003,1.0,0.0,1.0
완스,429641.0,61527.0,51.666668,56.833332,57.333332,71.666664,63.666668,1800,1400,1,0,0,10,8,3,1,250317145752124001,1.0,1.0,1.0
흡성대법,336279.0,35012.0,46.666668,43.666668,48.0,45.0,44.333332,1648,2219,0,0,1,6,11,5,1,250317145752124001,2.0,0.0,0.0
윤겔라,9107.0,15133.0,86.666664,56.333332,49.666668,72.333336,54.545456,1500,1500,1,0,0,13,8,2,1,250806003314124001,1.0,1.0,1.0
YUNSEUL,44898.0,142342.0,76.666664,37.833332,40.333332,26.666666,27.5,1400,1337,1,0,0,14,12,6,1,250806003314124001,1.0,1.0,1.0
효성,142404.0,310609.0,58.333332,56.0,52.999996,72.333336,56.0,2780,2396,1,0,0,11,9,3,1,250806003314124001,1.0,1.0,1.0
요네,205.0,1589.0,60.000004,60.833336,56.666668,76.666664,59.0,2999,3199,0,0,1,18,10,1,1,250806003314124001,2.0,0.0,0.0
byedaybye,154251.0,47277.0,50.0,56.0,57.666664,67.171715,80.0,2277,2199,1,0,0,14,13,6,1,250806003314124001,1.0,1.0,1.0
M16[1],,,63.636364,55.6962,54.545456,87.5,0.0,1400,1400,1,0,0,8,7,0,1,250203203030124002,1.0,0.0,1.0
정용화,228.0,1740.0,55.0,60.166668,57.333332,75.0,61.333332,1950,1950,1,0,0,11,6,1,1,250203203030124002,1.0,0.0,1.0
하정원,1328.0,31358.0,0.0,0.0,0.0,0.0,0.0,1950,1950,1,0,0,14,12,4,1,250523212523124002,1.0,0.0,1.0
yopIait,20532.0,64524.0,80.0,58.666664,62.0,69.0,62.666668,2079,2799,1,0,0,19,10,1,1,250523212523124002,1.0,0.0,1.0
예민보스,38836.0,20772.0,70.833336,58.499996,62.0,76.712326,62.666668,2053,2264,0,0,1,12,14,6,1,250523212523124002,2.0,1.0,0.0
