character_name,character_date_create,character_create_type_name,character_class_name,character_nation_name,character_gender,character_exp,character_level,server_name,job
동도나나나,2008-01-15T09:15:55Z,캐릭터_일반,궁사,부여,F,1.2638332385403182e+18,876,유리,궁사
궁수,2018-12-20T16:35:41Z,캐릭터_일반,궁사,고구려,M,5937481109306976.0,869,유리,궁사
연사,2024-09-10T14:09:20.125Z,캐릭터_일반,궁사,고구려,M,2.277110266146142e+16,867,유리,궁사
토게,2023-01-24T15:32:22.875Z,캐릭터_일반,궁사,부여,M,7634496485412726.0,867,유리,궁사
검도,2011-07-21T16:16:34.875Z,캐릭터_일반,천인,부여,M,2038830546988993.0,899,유리,천인
뽀뽀,2015-03-31T22:53:58Z,캐릭터_일반,천인,고구려,F,5.468381051517599e+16,899,유리,천인
잭스,2017-12-15T19:47:37.75Z,캐릭터_일반,천인,고구려,M,1.1773872194922603e+17,899,유리,천인
아리,2018-06-30T21:49:32.625Z,캐릭터_일반,천인,고구려,F,1099511281194571.0,899,유리,천인
악동,2022-06-01T16:24:01.625Z,캐릭터_일반,천인,고구려,M,7751358404309266.0,892,유리,천인
릴리,2011-07-23T10:49:56.125Z,캐릭터_일반,천인,고구려,F,1.4885158907440096e+16,882,유리,천인
체리,2012-08-23T16:56:21.125Z,캐릭터_일반,천인,부여,F,6.19168953578288e+16,880,유리,천인
예토,2015-08-08T12:10:24.125Z,캐릭터_일반,천인,부여,M,1.5624808020597765e+18,875,유리,천인
칵텔,2015-11-19T06:26:15.25Z,캐릭터_일반,천인,부여,F,1.380367358113495e+18,869,유리,천인
설매,2011-07-21T11:03:19.25Z,캐릭터_일반,천인,고구려,M,9.067264035794525e+17,869,유리,천인
이별,2016-07-14T13:00:54.125Z,캐릭터_일반,마도사,고구려,M,1.7037038465155338e+17,899,유리,마도사
청록마녀,2017-11-22T06:25:04.5Z,캐릭터_일반,마도사,고구려,F,4.769978733094367e+16,884,유리,마도사
신라라실,2018-12-20T11:44:14.75Z,캐릭터_일반,마도사,고구려,M,1.6174672041338176e+17,866,유리,마도사
달디,2016-08-31T03:50:04.125Z,캐릭터_일반,마도사,고구려,F,4.717269202725938e+17,853,유리,마도사
내일도달려,2018-01-29T02:43:15.5Z,캐릭터_일반,마도사,부여,M,5.49904145773489e+16,835,유리,마도사
해골,2016-11-16T03:05:34.375Z,캐릭터_일반,마도사,고구려,M,5.181143212470997e+16,833,유리,마도사
자동,2018-01-17T05:33:13.875Z,캐릭터_일반,마도사,고구려,M,1.8920406585512576e+17,833,유리,마도사
마릭,2016-07-07T07:17:01.125Z,캐릭터_일반,마도사,부여,F,3948132449616808.0,829,유리,마도사
변이빵빵,2017-01-27T15:56:49.625Z,캐릭터_일반,마도사,고구려,M,8.284530911660522e+16,823,유리,마도사
여름,2022-10-22T16:15:00.625Z,캐릭터_일반,마도사,고구려,F,960706224070652.0,822,유리,마도사
제트,2018-08-02T03:49:05.875Z,캐릭터_일반,영술사,부여,M,3.0427507409219085e+17,899,유리,영술사
로포피,2023-05-05T04:32:34.125Z,캐릭터_일반,영술사,부여,F,1.3009411243134488e+16,897,유리,영술사
다니,2024-03-18T11:45:55.25Z,캐릭터_일반,영술사,부여,M,7.317005252060253e+17,881,유리,영술사
청록신녀,2020-01-01T00:43:58.375Z,캐릭터_일반,영술사,고구려,F,3270786653429751.0,866,유리,영술사
광양,2018-07-19T06:07:13.375Z,캐릭터_일반,영술사,부여,M,1.3844514456481203e+18,865,유리,영술사
쌈바디,2019-12-07T04:09:52.625Z,캐릭터_일반,영술사,부여,M,6152606343264866.0,861,유리,영술사
서채,2023-01-08T20:08:26.75Z,캐릭터_일반,영술사,부여,F,194436939938668.0,849,유리,영술사
우주인,2018-07-19T11:44:09.25Z,캐릭터_일반,영술사,고구려,M,1880800889071243.0,847,유리,영술사
