character_name,server_name,job,ocid
우주인,유리,영술사,2e25a7b673c0a3f9022f7647c607f64dbcfdab81030536184f71c161f790621f
복귀한청풍,유리,영술사,d7f60b11a43251be5b556fa66bdc74cb1901e69dbb3b8344a1e22ef2c4379e85
바니,유리,영술사,d7f60b11a43251be5b556fa66bdc74cbea95158b54a6dcb4cd7e585fc15e1272
별빛,유리,차사,9cecece548742af21e37a1984e3495f84255fd3f9d1dbe8f9eacb82d23f899c5
흑승,유리,차사,2ad80d685b4dbd77636c0a70804bbea71a34e314b70f507dae0c61593b84aa0d
순수,유리,차사,2ad80d685b4dbd77636c0a70804bbea761c5e01fbf49e57b5c1281a646ff3813
현실,유리,차사,1ebccdef2f3e446bdf33b1803620bcf721fea11c509c426d0aef786bc288bf5a
울산너구리,유리,차사,f47709ceebd0c969db87ee00f52822b5cb7818535ad5657143fafa1356bc2bd8
리븐,유리,차사,d8e6f86446c08040ffa9c51e29537c1927c617df14c1dc06dcf9d7364ac25e54
힐미,유리,차사,09175c422326b370b8953b7bc967475e0ab67cf585100935455b3c5cd2472de3
귀신,유리,차사,8539794a0d45cb494ae006e185475cee64858a1aac39163f2f632eba07393aa0
저저저,유리,차사,8539794a0d45cb494ae006e185475ceeae28c9a4957f7b1a9871db640ee675f4
진프로,유리,차사,58a482ee53dce455a5d92b889e5e443663cbcf7e4427148eb8509c713dc6e25f
냐옹,유리,살수,8539794a0d45cb494ae006e185475cee1703d306c774f8e8b36b47645afa2c3c
행님,유리,살수,8539794a0d45cb494ae006e185475cee307c649e082063cbd06040bba0a780a7
외쳐,유리,살수,8539794a0d45cb494ae006e185475ceea32a76aebc4f07f116c04bad9e8a8870
유스케,유리,살수,8539794a0d45cb494ae006e185475cee789891449430aea55870512838242e30
조로,유리,살수,8539794a0d45cb494ae006e185475ceed3931f9211eefae64f9a4aa14c1cb706
용암,유리,살수,8539794a0d45cb494ae006e185475ceedf2a618bcc5bce1e2b08593f26333a6f
샤이,유리,살수,8539794a0d45cb494ae006e185475cee5291d648aff3a125c8d035f3c6ab0162
보리보리쌀밥,유리,살수,8539794a0d45cb494ae006e185475cee0bc032b69328fc8a756ee98e8f5018e9
보스,유리,살수,8539794a0d45cb494ae006e185475ceef7d08fed30920fee566dbd728a2fccb8
훈남,유리,살수,8539794a0d45cb494ae006e185475cee9be9339b9f8a671fb9497b9a04c0a808
비폭,하자,전사,35cb2b03fe957cfa5d37d9397a81f88e2657e6e7d859688c0815e67088e80e9d
쉬프터,하자,전사,88f9652617285a7d54ffbadddf96cf75454174e45430f1270b6bf34c891e7d56
새벽,하자,전사,00385c41a3c6d4cad109408ba714ed3dd6d8b0034e35806cee3a98ca641cc10f
